Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Country Code
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2111,Cattle,2011,2011,Head,163094,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2111,Cattle,2012,2012,Head,167095,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2111,Cattle,2013,2013,Head,154208,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2111,Cattle,2014,2014,Head,154909,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2111,Cattle,2015,2015,Head,154572,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2111,Cattle,2016,2016,Head,142833,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2111,Cattle,2017,2017,Head,293865,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2111,Cattle,2018,2018,Head,1036815,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2111,Cattle,2019,2019,Head,266892,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2111,Cattle,2020,2020,Head,259873,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2111,Cattle,2021,2021,Head,210400,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2111,Cattle,2006,2006,1000 US$,158016,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2111,Cattle,2007,2007,1000 US$,144684,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2111,Cattle,2008,2008,1000 US$,164021,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2111,Cattle,2009,2009,1000 US$,236502,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2111,Cattle,2010,2010,1000 US$,197766,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2111,Cattle,2011,2011,1000 US$,148220,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2111,Cattle,2012,2012,1000 US$,151116,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2111,Cattle,2013,2013,1000 US$,142399,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2111,Cattle,2014,2014,1000 US$,133995,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2111,Cattle,2015,2015,1000 US$,112309,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2111,Cattle,2016,2016,1000 US$,106919,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2111,Cattle,2017,2017,1000 US$,129344,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2111,Cattle,2018,2018,1000 US$,164236,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2111,Cattle,2019,2019,1000 US$,153079,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2111,Cattle,2020,2020,1000 US$,176590,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2111,Cattle,2021,2021,1000 US$,185235,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2122,Sheep,2006,2006,Head,1775,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2122,Sheep,2007,2007,Head,53,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2122,Sheep,2008,2008,Head,3352,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2122,Sheep,2009,2009,Head,1902,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2122,Sheep,2010,2010,Head,1266,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2122,Sheep,2011,2011,Head,948,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2122,Sheep,2012,2012,Head,1646,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2122,Sheep,2013,2013,Head,1394,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2122,Sheep,2014,2014,Head,1616,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2122,Sheep,2015,2015,Head,1720,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2122,Sheep,2016,2016,Head,2414,A,Official figure,BE
