Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Country Code
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2111,Cattle,2016,2016,1000 US$,169177,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2111,Cattle,2017,2017,1000 US$,192690,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2111,Cattle,2018,2018,1000 US$,207601,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2111,Cattle,2019,2019,1000 US$,167636,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2111,Cattle,2020,2020,1000 US$,131154,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2111,Cattle,2021,2021,1000 US$,149033,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2122,Sheep,2006,2006,Head,95465,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2122,Sheep,2007,2007,Head,99858,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2122,Sheep,2008,2008,Head,102066,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2122,Sheep,2009,2009,Head,83670,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2122,Sheep,2010,2010,Head,102957,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2122,Sheep,2011,2011,Head,101962,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2122,Sheep,2012,2012,Head,99377,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2122,Sheep,2013,2013,Head,99901,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2122,Sheep,2014,2014,Head,96970,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2122,Sheep,2015,2015,Head,73001,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2122,Sheep,2016,2016,Head,78024,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2122,Sheep,2017,2017,Head,82506,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2122,Sheep,2018,2018,Head,53851,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2122,Sheep,2019,2019,Head,43381,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2122,Sheep,2020,2020,Head,39799,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2122,Sheep,2021,2021,Head,59122,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2122,Sheep,2006,2006,1000 US$,11608,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2122,Sheep,2007,2007,1000 US$,12226,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2122,Sheep,2008,2008,1000 US$,15447,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2122,Sheep,2009,2009,1000 US$,12714,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2122,Sheep,2010,2010,1000 US$,15503,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2122,Sheep,2011,2011,1000 US$,17228,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2122,Sheep,2012,2012,1000 US$,15714,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2122,Sheep,2013,2013,1000 US$,15663,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2122,Sheep,2014,2014,1000 US$,15597,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2122,Sheep,2015,2015,1000 US$,10109,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2122,Sheep,2016,2016,1000 US$,10967,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2122,Sheep,2017,2017,1000 US$,10367,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2122,Sheep,2018,2018,1000 US$,8032,A,Official figure,BE
