,Domain,Area,Element,Item,Year,Unit,Value,Flag Description,Country Code
804,Crops and livestock products,Ireland,Import Value,Sheep,2008,1000 US$,5990,Official figure,IE
805,Crops and livestock products,Ireland,Import Value,Sheep,2009,1000 US$,3099,Official figure,IE
806,Crops and livestock products,Ireland,Import Value,Sheep,2010,1000 US$,3910,Official figure,IE
807,Crops and livestock products,Ireland,Import Value,Sheep,2011,1000 US$,2707,Official figure,IE
808,Crops and livestock products,Ireland,Import Value,Sheep,2012,1000 US$,17554,Official figure,IE
809,Crops and livestock products,Ireland,Import Value,Sheep,2013,1000 US$,14171,Official figure,IE
810,Crops and livestock products,Ireland,Import Value,Sheep,2014,1000 US$,2136,Official figure,IE
811,Crops and livestock products,Ireland,Import Value,Sheep,2015,1000 US$,1185,Official figure,IE
812,Crops and livestock products,Ireland,Import Value,Sheep,2016,1000 US$,1870,Official figure,IE
813,Crops and livestock products,Ireland,Import Value,Sheep,2017,1000 US$,1605,Official figure,IE
814,Crops and livestock products,Ireland,Import Value,Sheep,2018,1000 US$,1809,Official figure,IE
815,Crops and livestock products,Ireland,Import Value,Sheep,2019,1000 US$,1603,Official figure,IE
816,Crops and livestock products,Ireland,Import Value,Sheep,2020,1000 US$,44250,Official figure,IE
817,Crops and livestock products,Ireland,Import Value,Sheep,2021,1000 US$,48356,Official figure,IE
192,Crops and livestock products,Croatia,Export Quantity,Cattle,2006,Head,3285,Official figure,HR
193,Crops and livestock products,Croatia,Export Quantity,Cattle,2007,Head,14895,Official figure,HR
194,Crops and livestock products,Croatia,Export Quantity,Cattle,2008,Head,15566,Official figure,HR
195,Crops and livestock products,Croatia,Export Quantity,Cattle,2009,Head,4545,Official figure,HR
196,Crops and livestock products,Croatia,Export Quantity,Cattle,2010,Head,9496,Official figure,HR
197,Crops and livestock products,Croatia,Export Quantity,Cattle,2011,Head,28562,Official figure,HR
198,Crops and livestock products,Croatia,Export Quantity,Cattle,2012,Head,33055,Official figure,HR
199,Crops and livestock products,Croatia,Export Quantity,Cattle,2013,Head,29577,Official figure,HR
200,Crops and livestock products,Croatia,Export Quantity,Cattle,2014,Head,41927,Official figure,HR
201,Crops and livestock products,Croatia,Export Quantity,Cattle,2015,Head,66312,Official figure,HR
202,Crops and livestock products,Croatia,Export Quantity,Cattle,2016,Head,121766,Official figure,HR
203,Crops and livestock products,Croatia,Export Quantity,Cattle,2017,Head,133977,Official figure,HR
204,Crops and livestock products,Croatia,Export Quantity,Cattle,2018,Head,152172,Official figure,HR
205,Crops and livestock products,Croatia,Export Quantity,Cattle,2019,Head,98759,Official figure,HR
206,Crops and livestock products,Croatia,Export Quantity,Cattle,2020,Head,124610,Official figure,HR
207,Crops and livestock products,Croatia,Export Quantity,Cattle,2021,Head,138444,Official figure,HR
208,Crops and livestock products,Croatia,Export Value,Cattle,2006,1000 US$,3002,Official figure,HR
209,Crops and livestock products,Croatia,Export Value,Cattle,2007,1000 US$,11959,Official figure,HR
210,Crops and livestock products,Croatia,Export Value,Cattle,2008,1000 US$,14151,Official figure,HR
211,Crops and livestock products,Croatia,Export Value,Cattle,2009,1000 US$,3674,Official figure,HR
212,Crops and livestock products,Croatia,Export Value,Cattle,2010,1000 US$,14550,Official figure,HR
213,Crops and livestock products,Croatia,Export Value,Cattle,2011,1000 US$,38677,Official figure,HR
214,Crops and livestock products,Croatia,Export Value,Cattle,2012,1000 US$,39685,Official figure,HR
215,Crops and livestock products,Croatia,Export Value,Cattle,2013,1000 US$,41278,Official figure,HR
216,Crops and livestock products,Croatia,Export Value,Cattle,2014,1000 US$,52244,Official figure,HR
217,Crops and livestock products,Croatia,Export Value,Cattle,2015,1000 US$,80269,Official figure,HR
218,Crops and livestock products,Croatia,Export Value,Cattle,2016,1000 US$,143703,Official figure,HR
219,Crops and livestock products,Croatia,Export Value,Cattle,2017,1000 US$,156613,Official figure,HR
220,Crops and livestock products,Croatia,Export Value,Cattle,2018,1000 US$,197318,Official figure,HR
221,Crops and livestock products,Croatia,Export Value,Cattle,2019,1000 US$,100527,Official figure,HR
222,Crops and livestock products,Croatia,Export Value,Cattle,2020,1000 US$,135127,Official figure,HR
223,Crops and livestock products,Croatia,Export Value,Cattle,2021,1000 US$,173164,Official figure,HR
224,Crops and livestock products,Croatia,Export Quantity,Sheep,2006,Head,68,Official figure,HR
225,Crops and livestock products,Croatia,Export Quantity,Sheep,2007,Head,331,Official figure,HR
226,Crops and livestock products,Croatia,Export Quantity,Sheep,2008,Head,0,Unofficial figure,HR
227,Crops and livestock products,Croatia,Export Quantity,Sheep,2009,Head,5,Official figure,HR
228,Crops and livestock products,Croatia,Export Quantity,Sheep,2010,Head,510,Official figure,HR
229,Crops and livestock products,Croatia,Export Quantity,Sheep,2011,Head,348,Official figure,HR
230,Crops and livestock products,Croatia,Export Quantity,Sheep,2012,Head,1428,Official figure,HR
231,Crops and livestock products,Croatia,Export Quantity,Sheep,2013,Head,2667,Official figure,HR
232,Crops and livestock products,Croatia,Export Quantity,Sheep,2014,Head,12515,Official figure,HR
233,Crops and livestock products,Croatia,Export Quantity,Sheep,2015,Head,24190,Official figure,HR
234,Crops and livestock products,Croatia,Export Quantity,Sheep,2016,Head,54362,Official figure,HR
235,Crops and livestock products,Croatia,Export Quantity,Sheep,2017,Head,92478,Official figure,HR
236,Crops and livestock products,Croatia,Export Quantity,Sheep,2018,Head,92468,Official figure,HR
237,Crops and livestock products,Croatia,Export Quantity,Sheep,2019,Head,51176,Official figure,HR
238,Crops and livestock products,Croatia,Export Quantity,Sheep,2020,Head,62808,Official figure,HR
239,Crops and livestock products,Croatia,Export Quantity,Sheep,2021,Head,51362,Official figure,HR
240,Crops and livestock products,Croatia,Export Value,Sheep,2006,1000 US$,6,Official figure,HR
241,Crops and livestock products,Croatia,Export Value,Sheep,2007,1000 US$,34,Official figure,HR
242,Crops and livestock products,Croatia,Export Value,Sheep,2008,1000 US$,0,Unofficial figure,HR
243,Crops and livestock products,Croatia,Export Value,Sheep,2009,1000 US$,3,Official figure,HR
